PDB , Chain , Domains, Length, Interaction Energy, Density, Radius of Gyration
1ef1 , A ,  3  , 289 ,  2.271 ,  0.035 ,  25.339
1yln , A ,  2  , 225 ,  1.496 ,  0.021 ,  23.890
1dbh , A ,  2  , 332 ,  2.407 ,  0.029 ,  24.164
1k7t , A ,  4  , 170 ,  1.523 ,  0.032 ,  20.038
1shy , B ,  2  , 499 ,  3.699 ,  0.043 ,  25.071
1o4u , A ,  2  , 265 ,  2.010 ,  0.029 ,  23.612
1aqt , A ,  2  , 135 ,  1.308 ,  0.042 ,  16.896
3hn4 , A ,  3  , 259 ,  2.322 ,  0.040 ,  20.060
1fo1 , A ,  2  , 215 ,  1.379 ,  0.028 ,  24.164
1ll1 , A ,  3  , 590 ,  4.414 ,  0.051 ,  23.989
1e8c , A ,  3  , 482 ,  2.920 ,  0.041 ,  26.636
1aye , A ,  2  , 307 ,  3.109 ,  0.059 ,  20.707
1ais , B ,  2  , 193 ,  1.697 ,  0.037 ,  20.029
1dky , A ,  2  , 211 ,  1.703 ,  0.029 ,  21.522
1vcl , A ,  3  , 431 ,  3.199 ,  0.044 ,  23.174
1b6r , A ,  3  , 349 ,  2.418 ,  0.045 ,  21.470
1eg9 , A ,  2  , 447 ,  2.662 ,  0.048 ,  25.046
1r0v , A ,  3  , 244 ,  1.974 ,  0.032 ,  21.613
1ile , A ,  3  , 821 ,  4.224 ,  0.025 ,  34.509
1dfc , A ,  4  , 475 ,  3.480 ,  0.040 ,  26.623
1fpo , A ,  2  , 171 ,  1.481 ,  0.024 ,  20.670
1px5 , A ,  2  , 327 ,  2.764 ,  0.043 ,  22.330
1c5k , A ,  2  , 397 ,  2.675 ,  0.041 ,  23.391
1q25 , A ,  3  , 428 ,  2.917 ,  0.040 ,  24.810
1fu1 , A ,  2  , 174 ,  0.574 ,  0.013 ,  28.102
1dlp , A ,  2  , 233 ,  2.251 ,  0.047 ,  21.126
2q07 , A ,  3  , 266 ,  2.083 ,  0.033 ,  21.523
1a6d , A ,  3  , 503 ,  2.771 ,  0.027 ,  37.508
1okg , A ,  3  , 347 ,  2.252 ,  0.037 ,  22.647
3bzk , A ,  5  , 730 ,  3.248 ,  0.025 ,  33.129
1e2x , A ,  2  , 223 ,  1.642 ,  0.029 ,  21.105
1bbo , A ,  2  , 56 ,  0.671 ,  0.027 ,  28.172
1y7m , A ,  2  , 161 ,  1.557 ,  0.047 ,  17.175
1js8 , A ,  2  , 382 ,  3.359 ,  0.051 ,  22.725
1a16 , A ,  2  , 439 ,  2.860 ,  0.033 ,  27.128
1tte , A ,  2  , 215 ,  1.050 ,  0.023 ,  26.278
1ha0 , A ,  2  , 494 ,  2.139 ,  0.012 ,  38.892
1d5r , A ,  2  , 307 ,  2.372 ,  0.038 ,  23.489
1q4k , A ,  2  , 222 ,  2.134 ,  0.046 ,  18.561
