PDB, Chain, CATH, Length, Interaction Energy, Min. F(k), Single/Multi, Suggested K, FINAL
1ow1, A, 1, 167 , 0.371, 0.911 , Single , 3, 
1aqa, A, 1, 84 , 0.512, 0.874 , Single , 1, 
1kpt, A, 1, 105 , 0.457, 0.861 , Single , 1, 
1dvo, A, 1, 152 , 0.118, 0.511 , Single , 2, 
1e52, A, 1, 56 , 0.321, 0.515 , Single , 2, 
1fw2, A, 1, 257 , 0.304, 0.796 , Single , 1, 
1qgw, A, 1, 75 , 0.107, 0.550 , Single , 2, 
1i49, A, 1, 201 , 0.154, 0.430 , Multi , 2, 
1wmm, A, 1, 143 , 0.364, 0.879 , Single , 1, 
1dl6, A, 1, 58 , 0.052, 0.658 , Single , 2, 
1jl0, A, 1, 340 , 0.353, 0.918 , Single , 1, 
1q5v, A, 2, 115 , 0.087, 0.579 , Single , 2, 
1e15, A, 3, 496 , 0.188, 0.832 , Multi , 3, 
1bia, A, 3, 292 , 0.24, 0.705 , Single , 2, 
1bg2, A, 1, 323 , 0.328, 0.878 , Single , 1, 
2ob5, A, 1, 152 , 0.533, 0.900 , Single , 4, 
1jqj, A, 3, 366 , 0.096, 0.563 , Multi , 2, 
1hc1, A, 3, 634 , 0.172, 0.842 , Multi , 1, 
1j3a, A, 1, 129 , 0.349, 0.843 , Single , 4, 
1e5u, I, 2, 187 , 0.107, 0.527 , Multi , 2, 
1no5, A, 1, 100 , 0.5, 0.905 , Single , 1, 
1a5k, A, 1, 100 , 0.42, 0.760 , Single , 1, 
1xly, A, 1, 224 , 0.237, 0.686 , Single , 2, 
1c39, A, 1, 152 , 0.395, 0.818 , Single , 1, 
1bxy, A, 1, 60 , 0.4, 0.772 , Single , 1, 
1gp8, A, 1, 40 , 0.425, 0.662 , Single , 2, 
1t62, A, 1, 153 , 0.222, 0.779 , Single , 1, 
2icu, A, 1, 207 , 0.227, 0.883 , Single , 1, 
1u5u, A, 1, 366 , 0.232, 0.943 , Single , 4, 
1om2, A, 1, 95 , 0.137, 0.650 , Single , 2, 
1e94, A, 1, 174 , 0.167, 0.836 , Multi , 1, 
2hh8, A, 1, 127 , 0.346, 0.856 , Single , 1, 
1a1w, A, 1, 83 , 0.301, 0.911 , Single , 1, 
1c4t, A, 1, 226 , 0.301, 0.895 , Single , 1, 
1akl, A, 2, 470 , 0.155, 0.590 , Multi , 2, 
1squ, A, 1, 152 , 0.434, 0.834 , Single , 1, 
1bjp, A, 1, 62 , 0.242, 0.521 , Single , 2, 
1vqz, A, 2, 327 , 0.156, 0.770 , Multi , 1, 
1a02, F, 1, 53 , 0.189, 0.345 , Single , 2, 
1mae, L, 1, 123 , 0.252, 0.818 , Single , 1, 
1wij, A, 1, 127 , 0.173, 0.853 , Single , 1, 
2jpq, A, 1, 83 , 0.048, 0.711 , Single , 2, 
1s04, A, 1, 110 , 0.264, 0.779 , Single , 1, 
3bzc, A, 5, 730 , 0.067, 0.652 , Multi , 2, 
1k1v, A, 1, 41 , 0.415, 0.715 , Single , 2, 
1ksk, A, 2, 227 , 0.048, 0.531 , Multi , 2, 
1fwy, A, 2, 326 , 0.08, 0.625 , Multi , 2, 
1by2, A, 1, 112 , 0.429, 0.929 , Single , 1, 
1aqc, A, 1, 121 , 0.256, 0.893 , Single , 1, 
