294,1jgt, A, 2,  1.00 ,  Contiguous
295,1uly, A, 2,  0.99 ,  Contiguous
296,1x1o, B, 2,  0.91 ,  Non-Contiguous
297,1vaj, A, 2,  0.90 ,  Non-Contiguous
298,2glf, A, 2,  0.96 ,  Non-Contiguous
299,1d3y, A, 2,  0.99 ,  Contiguous
300,2ess, A, 2,  1.00 ,  Contiguous
301,3cjr, B, 2,  1.00 ,  Contiguous
302,1kq3, A, 2,  0.99 ,  Contiguous
303,3pfg, A, 2,  0.89 ,  Non-Contiguous
304,1qnt, A, 2,  0.99 ,  Contiguous
305,1emu, A, 2,  0.92 ,  Non-Contiguous
306,3k9o, A, 2,  0.79 ,  Contiguous
307,2cnd, A, 2,  1.00 ,  Contiguous
308,2psp, A, 2,  0.85 ,  Non-Contiguous
309,3iac, A, 2,  0.68 ,  Non-Contiguous
310,3ktl, A, 2,  0.93 ,  Non-Contiguous
311,2p84, A, 2,  0.98 ,  Contiguous
312,1prt, B, 2,  0.99 ,  Contiguous
313,2haw, A, 2,  0.99 ,  Contiguous
314,2a25, A, 2,  0.96 ,  Contiguous
315,1msk, A, 2,  0.86 ,  Non-Contiguous
316,1ytf, D, 2,  0.95 ,  Contiguous
317,1hnj, A, 2,  0.58 ,  Contiguous
318,1inl, C, 2,  0.98 ,  Contiguous
319,3h90, A, 2,  0.90 ,  Contiguous
320,1k2f, A, 2,  0.90 ,  Contiguous
321,1q33, A, 2,  0.96 ,  Non-Contiguous
322,2i15, A, 2,  0.88 ,  Contiguous
323,2hun, A, 2,  0.91 ,  Non-Contiguous
324,1hbn, B, 2,  0.97 ,  Non-Contiguous
325,1qhd, A, 2,  0.98 ,  Non-Contiguous
326,1qr0, A, 2,  0.90 ,  Non-Contiguous
327,2hxv, A, 2,  0.99 ,  Contiguous
328,1r8j, A, 2,  0.98 ,  Non-Contiguous
329,3nt1, A, 2,  0.53 ,  Contiguous
330,1vq8, W, 2,  0.98 ,  Non-Contiguous
331,3jyu, B, 2,  1.00 ,  Contiguous
332,3cj8, B, 3,  0.67 ,  Contiguous
333,1inp, A, 3,  0.62 ,  Non-Contiguous
334,1l1l, A, 3,  0.66 ,  Non-Contiguous
335,1fa0, A, 3,  0.99 ,  Non-Contiguous
336,1cuk, A, 3,  0.92 ,  Contiguous
337,1fcd, A, 3,  0.96 ,  Non-Contiguous
338,1jey, B, 3,  0.92 ,  Contiguous
339,1ddg, A, 3,  0.99 ,  Non-Contiguous
340,1pmi, A, 3,  0.66 ,  Non-Contiguous
341,1w27, A, 3,  0.89 ,  Non-Contiguous
342,1yqy, A, 3,  0.97 ,  Non-Contiguous
343,1gql, A, 3,  0.88 ,  Contiguous
344,2ptr, B, 3,  0.64 ,  Non-Contiguous
345,3bl9, B, 3,  0.95 ,  Non-Contiguous
346,1t3q, C, 3,  0.94 ,  Contiguous
347,1jet, A, 3,  0.93 ,  Non-Contiguous
348,1r0v, A, 3,  0.95 ,  Contiguous
349,1vcl, A, 3,  0.99 ,  Contiguous
350,3kfl, A, 3,  0.79 ,  Non-Contiguous
351,2op9, A, 3,  0.95 ,  Non-Contiguous
352,3swo, B, 3,  0.54 ,  Contiguous
353,2ala, A, 3,  0.66 ,  Non-Contiguous
354,2q0u, A, 3,  0.99 ,  Non-Contiguous
355,1d4v, A, 3,  0.81 ,  Contiguous
356,1ki0, A, 3,  0.98 ,  Contiguous
357,3hn4, A, 3,  0.98 ,  Contiguous
358,1mox, A, 3,  0.92 ,  Contiguous
359,1kl7, A, 3,  0.72 ,  Non-Contiguous
360,1e8b, A, 3,  0.99 ,  Contiguous
361,1r8e, A, 3,  0.61 ,  Contiguous
362,1vq8, P, 3,  0.99 ,  Contiguous
363,1opl, B, 3,  0.95 ,  Contiguous
364,3gku, A, 3,  0.98 ,  Contiguous
365,3mvq, A, 3,  0.76 ,  Contiguous
366,2re3, A, 3,  0.88 ,  Contiguous
367,1fzc, B, 3,  0.80 ,  Non-Contiguous
368,1k97, A, 3,  0.96 ,  Non-Contiguous
369,1aip, C, 3,  0.95 ,  Non-Contiguous
370,1a1v, A, 3,  0.84 ,  Non-Contiguous
371,1tke, A, 3,  0.79 ,  Non-Contiguous
372,2ck3, A, 3,  0.89 ,  Contiguous
373,2oas, A, 3,  0.89 ,  Contiguous
374,1u09, A, 3,  0.84 ,  Non-Contiguous
375,1io1, A, 3,  0.82 ,  Non-Contiguous
376,1rwh, A, 3,  0.97 ,  Contiguous
377,3k75, E, 3,  0.98 ,  Contiguous
378,2zbk, B, 3,  0.72 ,  Contiguous
379,1uxy, A, 3,  0.99 ,  Contiguous
380,2iah, A, 3,  0.47 ,  Contiguous
381,1jec, A, 3,  0.95 ,  Contiguous
382,2g50, A, 3,  0.99 ,  Non-Contiguous
383,3bh1, A, 3,  0.81 ,  Non-Contiguous
384,2dsj, A, 3,  0.80 ,  Non-Contiguous
385,3ffk, A, 3,  0.98 ,  Contiguous
386,1nuh, A, 3,  0.60 ,  Non-Contiguous
387,3moh, A, 3,  0.97 ,  Non-Contiguous
388,3g4n, A, 3,  0.95 ,  Non-Contiguous
389,1p9b, A, 3,  0.99 ,  Non-Contiguous
390,1e8c, A, 3,  0.99 ,  Contiguous
391,3eb7, C, 3,  0.91 ,  Non-Contiguous
392,1c4z, A, 3,  0.99 ,  Non-Contiguous
393,1vpr, A, 3,  0.51 ,  Non-Contiguous
394,1oip, A, 3,  0.67 ,  Non-Contiguous
395,1fc9, A, 3,  0.94 ,  Non-Contiguous
396,1wet, A, 3,  0.94 ,  Non-Contiguous
397,2he7, A, 3,  1.00 ,  Contiguous
398,1h6w, A, 3,  0.97 ,  Contiguous
399,1y8a, A, 3,  0.60 ,  Non-Contiguous
400,1knr, A, 3,  0.72 ,  Non-Contiguous
401,2bxr, A, 3,  0.79 ,  Non-Contiguous
402,3o08, A, 3,  0.61 ,  Contiguous
403,2oza, A, 3,  0.83 ,  Contiguous
404,1l8q, A, 3,  0.97 ,  Contiguous
405,3ckc, A, 3,  0.81 ,  Non-Contiguous
406,2y1e, A, 3,  0.87 ,  Contiguous
407,1lfw, A, 3,  0.92 ,  Non-Contiguous
408,2zyd, A, 3,  0.82 ,  Contiguous
409,1bob, A, 3,  0.68 ,  Non-Contiguous
410,3abq, A, 3,  0.51 ,  Contiguous
411,1f00, I, 3,  0.99 ,  Contiguous
412,1vq8, B, 3,  0.87 ,  Non-Contiguous
413,2o36, A, 3,  0.74 ,  Non-Contiguous
414,1p49, A, 3,  0.91 ,  Non-Contiguous
415,2q0z, X, 3,  0.88 ,  Contiguous
416,3a9s, A, 3,  0.94 ,  Contiguous
417,1td6, A, 3,  0.95 ,  Contiguous
418,1nt2, B, 3,  0.91 ,  Contiguous
419,1w59, A, 3,  0.82 ,  Contiguous
420,1ddt, A, 3,  0.94 ,  Contiguous
421,2jkb, A, 3,  0.92 ,  Non-Contiguous
422,1sx3, A, 3,  0.92 ,  Non-Contiguous
423,1u8v, A, 3,  0.51 ,  Contiguous
424,1b47, A, 3,  0.98 ,  Contiguous
425,2g8y, B, 3,  0.62 ,  Non-Contiguous
426,1mpg, A, 3,  0.90 ,  Contiguous
427,1m1g, D, 3,  0.96 ,  Non-Contiguous
428,1sr8, A, 3,  0.92 ,  Contiguous
429,1bvp, 1, 3,  0.98 ,  Contiguous
430,2d5b, A, 3,  0.74 ,  Non-Contiguous
431,1ile, A, 3,  0.90 ,  Non-Contiguous
432,3lie, A, 3,  0.73 ,  Contiguous
433,3ci0, K, 3,  0.97 ,  Non-Contiguous
434,3c18, A, 3,  0.95 ,  Contiguous
435,2gno, A, 3,  0.96 ,  Contiguous
436,1vio, A, 3,  0.96 ,  Non-Contiguous
437,1olz, A, 3,  0.54 ,  Contiguous
438,1dde, A, 3,  1.00 ,  Contiguous
439,2jan, A, 3,  0.98 ,  Contiguous
440,1el6, A, 3,  0.89 ,  Non-Contiguous
441,1cii, A, 3,  0.58 ,  Non-Contiguous
442,1np7, B, 3,  0.94 ,  Contiguous
443,1d5t, A, 3,  0.91 ,  Non-Contiguous
444,3fdj, A, 3,  0.74 ,  Non-Contiguous
445,1w7c, A, 3,  0.82 ,  Non-Contiguous
446,2oq1, A, 3,  0.99 ,  Contiguous
447,1q25, A, 3,  0.95 ,  Contiguous
448,1b8x, A, 3,  0.92 ,  Non-Contiguous
449,3git, A, 3,  0.97 ,  Contiguous
450,1nlt, A, 3,  0.97 ,  Non-Contiguous
451,1h6u, A, 3,  0.72 ,  Contiguous
452,1ltl, A, 3,  0.98 ,  Non-Contiguous
453,2im9, A, 3,  0.88 ,  Non-Contiguous
454,3d1g, A, 3,  0.99 ,  Contiguous
455,1ulk, A, 3,  0.97 ,  Contiguous
456,2ck3, F, 3,  0.88 ,  Contiguous
457,1sox, A, 3,  0.79 ,  Contiguous
458,1goi, A, 3,  0.70 ,  Non-Contiguous
459,1zja, A, 3,  0.61 ,  Non-Contiguous
460,1t11, A, 3,  0.99 ,  Non-Contiguous
461,2axq, A, 3,  0.88 ,  Non-Contiguous
462,2i00, A, 3,  0.95 ,  Non-Contiguous
463,1mbm, D, 3,  0.92 ,  Contiguous
464,1wp9, B, 3,  0.97 ,  Non-Contiguous
465,1uzk, A, 3,  0.64 ,  Contiguous
466,2qee, A, 3,  0.85 ,  Non-Contiguous
467,5req, B, 3,  0.85 ,  Contiguous
468,2fml, A, 3,  0.97 ,  Contiguous
469,1qzf, A, 3,  0.79 ,  Contiguous
470,1xsz, A, 3,  0.99 ,  Contiguous
471,3ml1, A, 4,  0.95 ,  Non-Contiguous
472,2eat, A, 4,  0.92 ,  Non-Contiguous
473,3osn, A, 4,  0.93 ,  Non-Contiguous
474,1k4t, A, 4,  0.87 ,  Non-Contiguous
475,2r6g, F, 4,  0.80 ,  Non-Contiguous
476,1wvf, A, 4,  0.70 ,  Contiguous
477,3a21, A, 4,  0.91 ,  Contiguous
478,1zjk, A, 4,  0.91 ,  Non-Contiguous
479,1svb, A, 4,  0.81 ,  Non-Contiguous
480,1iq8, A, 4,  0.68 ,  Contiguous
481,1qtm, A, 4,  0.92 ,  Non-Contiguous
482,2ahx, A, 4,  0.87 ,  Contiguous
483,1g8l, A, 4,  0.92 ,  Non-Contiguous
484,2fo0, A, 4,  0.96 ,  Contiguous
485,1sh0, A, 4,  0.74 ,  Non-Contiguous
486,3ju4, A, 4,  0.89 ,  Non-Contiguous
487,2qts, A, 4,  0.86 ,  Non-Contiguous
488,2fmp, A, 4,  0.95 ,  Contiguous
489,1ord, A, 4,  0.79 ,  Contiguous
490,3hu3, A, 4,  0.99 ,  Contiguous
491,1pfo, A, 4,  0.72 ,  Non-Contiguous
492,2x8g, A, 4,  0.90 ,  Non-Contiguous
493,1xfx, A, 4,  0.99 ,  Non-Contiguous
494,3i33, A, 4,  0.82 ,  Non-Contiguous
495,1dq3, A, 4,  0.94 ,  Non-Contiguous
496,1yq3, A, 4,  0.79 ,  Non-Contiguous
497,1jmu, B, 4,  0.93 ,  Non-Contiguous
498,1pfx, L, 4,  0.86 ,  Contiguous
499,2hau, A, 4,  0.96 ,  Non-Contiguous
500,1nyr, A, 4,  0.88 ,  Non-Contiguous
501,2p3y, A, 4,  0.95 ,  Non-Contiguous
502,1ygy, B, 4,  0.97 ,  Non-Contiguous
503,1q2l, A, 4,  0.92 ,  Non-Contiguous
504,1sqg, A, 4,  0.90 ,  Contiguous
505,1kfi, A, 4,  0.91 ,  Contiguous
506,3gvj, A, 4,  0.91 ,  Non-Contiguous
507,2hyv, A, 4,  0.94 ,  Contiguous
508,2e28, A, 4,  0.99 ,  Non-Contiguous
509,1eg3, A, 4,  0.92 ,  Non-Contiguous
510,2uvo, A, 4,  1.00 ,  Contiguous
511,1ijj, B, 4,  0.85 ,  Non-Contiguous
512,2gy5, A, 4,  0.98 ,  Contiguous
513,1g5a, A, 4,  0.60 ,  Non-Contiguous
514,2au3, A, 4,  0.99 ,  Contiguous
515,1ggt, A, 4,  0.85 ,  Contiguous
516,2wvy, A, 4,  0.87 ,  Non-Contiguous
517,2b5e, A, 4,  0.99 ,  Contiguous
