Chain:  1inpA ,  Domains (CATH):  3 ,  Domain 1 :  1 - 80    128 - 234 ,  Domain 2 :  81 - 127 ,  Domain 3 :  235 - 400 ,  Length:  400 ,  IS-Sum_2:  8.51 ,  IS-Sum_3:  18.6 ,  IS-Sum_4:  30.5 ,  Assigned Domain:  3
Chain:  1uwyA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 296 ,  Domain 2 :  297 - 403 ,  Length:  393 ,  IS-Sum_2:  9.76 ,  IS-Sum_3:  21.8 ,  IS-Sum_4:  28.9 ,  Assigned Domain:  2
Chain:  1vdkA ,  Domains (CATH):  3 ,  Domain 1 :  4 - 138 ,  Domain 2 :  139 - 404 ,  Domain 3 :  405 - 463 ,  Length:  458 ,  IS-Sum_2:  3.15 ,  IS-Sum_3:  9.7 ,  IS-Sum_4:  21.5 ,  Assigned Domain:  3
Chain:  1gudA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 110    250 - 278 ,  Domain 2 :  111 - 249    279 - 288 ,  Length:  288 ,  IS-Sum_2:  1.93 ,  IS-Sum_3:  17.9 ,  IS-Sum_4:  34.4 ,  Assigned Domain:  2
Chain:  1qntA ,  Domains (CATH):  2 ,  Domain 1 :  6 - 85 ,  Domain 2 :  86 - 176 ,  Length:  166 ,  IS-Sum_2:  4.06 ,  IS-Sum_3:  29.2 ,  IS-Sum_4:  42.3 ,  Assigned Domain:  2
Chain:  1n93X ,  Domains (CATH):  2 ,  Domain 1 :  28 - 235 ,  Domain 2 :  236 - 370 ,  Length:  335 ,  IS-Sum_2:  2.8 ,  IS-Sum_3:  11.6 ,  IS-Sum_4:  16.3 ,  Assigned Domain:  2
Chain:  1edhA ,  Domains (CATH):  2 ,  Domain 1 :  3 - 101 ,  Domain 2 :  102 - 213 ,  Length:  211 ,  IS-Sum_2:  2.61 ,  IS-Sum_3:  14.2 ,  IS-Sum_4:  30.7 ,  Assigned Domain:  2
Chain:  2bs2A ,  Domains (CATH):  4 ,  Domain 1 :  1 - 258    366 - 436 ,  Domain 2 :  259 - 365 ,  Domain 3 :  437 - 554 ,  Domain 4 :  555 - 648 ,  Length:  660 ,  IS-Sum_2:  6.4 ,  IS-Sum_3:  15.4 ,  IS-Sum_4:  27.9 ,  Assigned Domain:  4
Chain:  1ca1A ,  Domains (CATH):  2 ,  Domain 1 :  1 - 250 ,  Domain 2 :  251 - 370 ,  Length:  370 ,  IS-Sum_2:  4.75 ,  IS-Sum_3:  13.8 ,  IS-Sum_4:  31.8 ,  Assigned Domain:  2
Chain:  1mucA ,  Domains (CATH):  2 ,  Domain 1 :  4 - 121    358 - 372 ,  Domain 2 :  122 - 357 ,  Length:  360 ,  IS-Sum_2:  7.4 ,  IS-Sum_3:  18.8 ,  IS-Sum_4:  38.6 ,  Assigned Domain:  2
Chain:  1i6aA ,  Domains (CATH):  2 ,  Domain 1 :  87 - 163    268 - 298 ,  Domain 2 :  164 - 267 ,  Length:  212 ,  IS-Sum_2:  4.71 ,  IS-Sum_3:  17.1 ,  IS-Sum_4:  30.1 ,  Assigned Domain:  2
Chain:  1d5rA ,  Domains (CATH):  2 ,  Domain 1 :  14 - 187 ,  Domain 2 :  188 - 351 ,  Length:  307 ,  IS-Sum_2:  2.21 ,  IS-Sum_3:  15.7 ,  IS-Sum_4:  27.5 ,  Assigned Domain:  2
Chain:  1tu7A ,  Domains (CATH):  2 ,  Domain 1 :  1 - 76    186 - 208 ,  Domain 2 :  77 - 185 ,  Length:  208 ,  IS-Sum_2:  5.4 ,  IS-Sum_3:  23.6 ,  IS-Sum_4:  36.6 ,  Assigned Domain:  2
Chain:  1x7dA ,  Domains (CATH):  2 ,  Domain 1 :  2 - 125    296 - 341 ,  Domain 2 :  126 - 295 ,  Length:  332 ,  IS-Sum_2:  7.07 ,  IS-Sum_3:  18.4 ,  IS-Sum_4:  26.8 ,  Assigned Domain:  2
Chain:  2oezA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 11    179 - 245 ,  Domain 2 :  12 - 178 ,  Length:  265 ,  IS-Sum_2:  4.88 ,  IS-Sum_3:  12.0 ,  IS-Sum_4:  24.9 ,  Assigned Domain:  2
Chain:  1pg5A ,  Domains (CATH):  2 ,  Domain 1 :  1 - 129    278 - 299 ,  Domain 2 :  130 - 277 ,  Length:  292 ,  IS-Sum_2:  5.39 ,  IS-Sum_3:  16.0 ,  IS-Sum_4:  24.2 ,  Assigned Domain:  2
Chain:  1gdtA ,  Domains (CATH):  3 ,  Domain 1 :  1 - 98 ,  Domain 2 :  99 - 140 ,  Domain 3 :  141 - 183 ,  Length:  183 ,  IS-Sum_2:  2.06 ,  IS-Sum_3:  3.39 ,  IS-Sum_4:  19.8 ,  Assigned Domain:  3
Chain:  1jmoA ,  Domains (CATH):  2 ,  Domain 1 :  101 - 278    378 - 426 ,  Domain 2 :  279 - 377    427 - 477 ,  Length:  425 ,  IS-Sum_2:  5.98 ,  IS-Sum_3:  16.8 ,  IS-Sum_4:  31.3 ,  Assigned Domain:  2
Chain:  1qp8A ,  Domains (CATH):  2 ,  Domain 1 :  2 - 82    264 - 302 ,  Domain 2 :  83 - 263 ,  Length:  295 ,  IS-Sum_2:  3.34 ,  IS-Sum_3:  17.9 ,  IS-Sum_4:  37.0 ,  Assigned Domain:  2
