2 , ('2', '60', '310') , 0
2 , ('4', '10', '480') , 1
2 , ('4', '10', '470') , 2
4 , ('2', '30', '130') , 3
3 , ('3', '90', '1160') , 1
2 , ('1', '10', '400') , 2
4 , ('1', '10', '238') , 3
2 , ('2', '170', '230') , 0
2 , ('3', '90', '209') , 4
2 , None , 104
3 , ('1', '10', '1410') , 0
2 , ('3', '40', '50') , 48
3 , None , 136
2 , ('3', '30', '428') , 0
2 , ('3', '40', '309') , 3
3 , ('3', '30', '70') , 3
2 , ('3', '90', '1620') , 0
4 , ('3', '90', '640') , 34
2 , ('3', '30', '54') , 0
4 , ('3', '30', '870') , 0
2 , ('3', '40', '50') , 48
4 , ('4', '10', '80') , 26
2 , None , 104
2 , ('1', '10', '1380') , 0
2 , ('3', '90', '226') , 0
2 , ('3', '90', '209') , 4
2 , ('3', '30', '420') , 3
2 , ('1', '10', '3740') , 0
3 , ('2', '40', '220') , 2
2 , ('1', '10', '470') , 0
2 , ('1', '10', '3900') , 0
3 , ('2', '60', '40') , 22
2 , ('3', '30', '980') , 0
4 , ('2', '40', '30') , 10
2 , ('3', '65', '10') , 1
2 , ('3', '30', '1110') , 1
3 , ('3', '40', '390') , 0
2 , ('3', '10', '290') , 4
3 , ('4', '10', '1180') , 5
3 , ('3', '90', '1170') , 3
2 , ('3', '30', '2040') , 0
3 , ('3', '40', '525') , 0
3 , ('3', '30', '428') , 1
4 , ('2', '60', '40') , 62
3 , ('3', '30', '1430') , 5
2 , ('1', '10', '15') , 1
3 , ('1', '10', '287') , 5
2 , ('3', '40', '50') , 48
2 , ('3', '40', '50') , 48
3 , None , 136
2 , ('1', '10', '1240') , 0
3 , ('1', '10', '820') , 4
2 , None , 104
3 , ('3', '90', '760') , 0
3 , ('1', '10', '730') , 1
3 , ('1', '20', '5') , 16
2 , ('2', '60', '200') , 2
2 , ('2', '70', '20') , 1
2 , ('1', '10', '230') , 0
2 , ('3', '30', '1240') , 0
4 , ('2', '60', '40') , 62
2 , ('2', '10', '110') , 0
4 , ('3', '20', '20') , 0
2 , ('3', '90', '1470') , 0
2 , ('1', '10', '468') , 0
3 , ('3', '40', '390') , 0
2 , ('3', '90', '1200') , 0
3 , ('3', '40', '50') , 43
2 , ('3', '30', '870') , 1
3 , ('1', '20', '5') , 16
2 , None , 104
2 , None , 104
2 , ('1', '10', '287') , 4
3 , ('1', '10', '40') , 6
3 , ('3', '90', '1390') , 1
3 , ('1', '20', '960') , 2
2 , ('3', '30', '1600') , 0
2 , None , 104
3 , ('3', '90', '170') , 2
3 , ('3', '30', '70') , 3
3 , ('3', '10', '28') , 1
2 , ('1', '10', '1470') , 0
2 , ('3', '20', '10') , 1
3 , ('3', '10', '450') , 0
3 , ('3', '10', '290') , 0
2 , ('3', '40', '640') , 7
3 , ('3', '40', '190') , 1
2 , ('2', '40', '10') , 21
2 , ('1', '20', '1050') , 9
2 , ('2', '30', '39') , 1
2 , ('3', '40', '1560') , 0
2 , ('3', '50', '70') , 0
2 , ('3', '90', '1320') , 0
3 , ('2', '60', '260') , 0
4 , None , 136
4 , ('1', '20', '5') , 3
3 , ('1', '10', '268') , 0
2 , ('1', '20', '140') , 0
4 , ('2', '60', '120') , 3
2 , ('3', '30', '1940') , 0
4 , ('2', '40', '40') , 6
3 , ('3', '40', '50') , 43
4 , None , 136
2 , ('3', '30', '110') , 0
4 , ('4', '10', '1090') , 8
3 , ('2', '10', '10') , 9
2 , ('3', '30', '1030') , 0
2 , ('3', '40', '390') , 0
4 , ('3', '10', '28') , 0
2 , ('1', '20', '840') , 0
4 , ('1', '10', '150') , 16
2 , ('2', '60', '490') , 0
3 , ('2', '20', '28') , 0
4 , ('1', '20', '960') , 5
2 , ('3', '10', '310') , 3
