No., PDB, Chain, Domains, CATH, K-Means, p-value
108,2pnw, A, 2,  " Domain 1 :  5 - 101    270 - 369

Domain 2 :  102 - 262 " ,  " Domain 1 :  5 - 98    263 - 369

Domain 2 :  99 - 262 " ,  0.97
109,2pqc, A, 2,  " Domain 1 :  6 - 27    242 - 450

Domain 2 :  28 - 241 " ,  " Domain 1 :  243 - 450

Domain 2 :  6 - 242 " ,  0.95
110,2psp, A, 2,  " Domain 1 :  2 - 59    100 - 106

Domain 2 :  60 - 99 " ,  " Domain 1 :  2 - 50

Domain 2 :  51 - 106 " ,  0.85
111,2px6, A, 2,  " Domain 1 :  2221 - 2342    2433 - 2501

Domain 2 :  2343 - 2432 " ,  " Domain 1 :  2221 - 2360    2433 - 2501

Domain 2 :  2361 - 2432 " ,  0.94
112,2q14, B, 2,  " Domain 1 :  5 - 99    115 - 220    363 - 394

Domain 2 :  100 - 114    221 - 362    395 - 407 " ,  " Domain 1 :  5 - 218    358 - 407

Domain 2 :  219 - 357 " ,  0.91
113,2qsd, B, 2,  " Domain 1 :  5 - 60    169 - 179

Domain 2 :  61 - 168 " ,  " Domain 1 :  5 - 59

Domain 2 :  60 - 179 " ,  0.93
114,2rdz, A, 2,  " Domain 1 :  37 - 303    447 - 477

Domain 2 :  304 - 446 " ,  " Domain 1 :  37 - 66    89 - 233    263 - 330    455 - 477

Domain 2 :  67 - 88    234 - 262    331 - 454 " ,  0.80
115,2rh1, A, 2,  " Domain 1 :  29 - 230    263 - 342

Domain 2 :  1002 - 1161 " ,  " Domain 1 :  29 - 222    271 - 342

Domain 2 :  223 - 270    343 - 1161 " ,  0.38
116,2vqe, D, 2,  " Domain 1 :  2 - 97    195 - 209

Domain 2 :  98 - 194 " ,  " Domain 1 :  2 - 97

Domain 2 :  98 - 209 " ,  0.93
117,2vsg, A, 2,  " Domain 1 :  1 - 30    84 - 251

Domain 2 :  31 - 83    252 - 358 " ,  " Domain 1 :  1 - 28    87 - 252

Domain 2 :  29 - 86    253 - 358 " ,  0.98
118,2wnp, F, 2,  " Domain 1 :  81 - 215    289 - 297

Domain 2 :  216 - 288 " ,  " Domain 1 :  81 - 129

Domain 2 :  130 - 297 " ,  0.56
119,2wr1, C, 2,  " Domain 1 :  6 - 51    273 - 496

Domain 2 :  52 - 272 " ,  " Domain 1 :  6 - 40    289 - 389    419 - 496

Domain 2 :  41 - 288    390 - 418 " ,  0.89
120,2xn6, A, 2,  " Domain 1 :  19 - 190    287 - 356

Domain 2 :  191 - 286 " ,  " Domain 1 :  19 - 185    293 - 355

Domain 2 :  186 - 292 " ,  0.97
121,2z37, A, 2,  " Domain 1 :  146 - 232    292 - 389

Domain 2 :  233 - 291 " ,  " Domain 1 :  187 - 212    304 - 389

Domain 2 :  146 - 186    213 - 303 " ,  0.70
122,3agf, A, 2,  " Domain 1 :  13 - 70    209 - 327

Domain 2 :  71 - 208 " ,  " Domain 1 :  13 - 72    208 - 327

Domain 2 :  73 - 207 " ,  0.99
123,3b8m, C, 2,  " Domain 1 :  64 - 206    318 - 330

Domain 2 :  207 - 317 " ,  " Domain 1 :  64 - 213

Domain 2 :  214 - 330 " ,  0.93
124,3bqw, A, 2,  " Domain 1 :  5 - 163    290 - 340

Domain 2 :  164 - 289    341 - 351 " ,  " Domain 1 :  5 - 48    83 - 135    294 - 351

Domain 2 :  49 - 82    136 - 293 " ,  0.78
125,3bu2, A, 2,  " Domain 1 :  2 - 17    90 - 198

Domain 2 :  18 - 89 " ,  " Domain 1 :  90 - 198

Domain 2 :  2 - 89 " ,  0.92
126,3c8c, B, 2,  " Domain 1 :  61 - 89    203 - 300

Domain 2 :  90 - 202 " ,  " Domain 1 :  61 - 84    204 - 300

Domain 2 :  85 - 203 " ,  0.97
127,3ca8, A, 2,  " Domain 1 :  5 - 26    182 - 265

Domain 2 :  27 - 181 " ,  " Domain 1 :  5 - 28    183 - 265

Domain 2 :  29 - 182 " ,  0.99
128,3cwc, A, 2,  " Domain 1 :  0 - 41    277 - 380

Domain 2 :  42 - 276 " ,  " Domain 1 :  0 - 43    269 - 380

Domain 2 :  44 - 268 " ,  0.97
129,3d3l, B, 2,  " Domain 1 :  176 - 246    332 - 662

Domain 2 :  247 - 331 " ,  " Domain 1 :  361 - 542    599 - 662

Domain 2 :  176 - 360    543 - 598 " ,  0.68
130,3don, A, 2,  " Domain 1 :  1 - 98    232 - 271

Domain 2 :  99 - 231 " ,  " Domain 1 :  1 - 103    236 - 271

Domain 2 :  104 - 235 " ,  0.97
131,3e2o, A, 2,  " Domain 1 :  4 - 144    266 - 294

Domain 2 :  145 - 265 " ,  " Domain 1 :  4 - 141    263 - 294

Domain 2 :  142 - 262 " ,  0.98
132,3f6y, A, 2,  " Domain 1 :  45 - 116    144 - 199

Domain 2 :  117 - 143    200 - 279 " ,  " Domain 1 :  45 - 115    146 - 192

Domain 2 :  116 - 145    193 - 279 " ,  0.96
133,3feg, A, 2,  " Domain 1 :  42 - 107    135 - 147

Domain 2 :  111 - 134    148 - 388 " ,  " Domain 1 :  42 - 152

Domain 2 :  153 - 388 " ,  0.91
134,3gyx, A, 2,  " Domain 1 :  3 - 279    411 - 664

Domain 2 :  280 - 410 " ,  " Domain 1 :  3 - 68    175 - 275    414 - 664

Domain 2 :  69 - 174    276 - 413 " ,  0.83
135,3h9v, A, 2,  " Domain 1 :  32 - 58    333 - 361

Domain 2 :  59 - 332 " ,  " Domain 1 :  32 - 68    191 - 280    324 - 361

Domain 2 :  69 - 190    281 - 323 " ,  0.67
136,3hbu, P, 2,  " Domain 1 :  18 - 35    263 - 479

Domain 2 :  36 - 262 " ,  " Domain 1 :  339 - 479

Domain 2 :  18 - 338 " ,  0.80
137,3iac, A, 2,  " Domain 1 :  2 - 45    139 - 470

Domain 2 :  46 - 138 " ,  " Domain 1 :  157 - 380

Domain 2 :  2 - 156    381 - 470 " ,  0.68
138,3im9, A, 2,  " Domain 1 :  -7 - 121    196 - 305

Domain 2 :  122 - 195 " ,  " Domain 1 :  -7 - 116    210 - 305

Domain 2 :  117 - 209 " ,  0.94
139,3jr3, A, 2,  " Domain 1 :  1 - 29    76 - 116    166 - 246

Domain 2 :  30 - 75    117 - 165 " ,  " Domain 1 :  1 - 28    75 - 115    169 - 246

Domain 2 :  29 - 74    116 - 168 " ,  0.98
