2h88 , B , 2 , 156   , 82   74   , 31   58   67   , 27   66   20   43  
1g1t , A , 2 , 66   , 58   8   , 24   8   34   , 17   24   7   18  
1fjr , A , 2 , 94   , 57   37   , 39   23   32   , 24   25   25   20  
1hdh , A , 2 , 320   , 148   172   , 130   94   96   , 87   82   83   68  
2r9q , A , 2 , 189   , 83   106   , 58   84   47   , 36   66   39   48  
1evl , A , 2 , 239   , 154   85   , 83   49   107   , 45   73   77   44  
1su3 , A , 2 , 218   , 98   120   , 89   84   45   , 44   75   60   39  
1y7m , A , 2 , 72   , 25   47   , 25   19   28   , 20   17   15   20  
3b4n , A , 2 , 176   , 68   108   , 59   46   71   , 33   57   43   43  
2jz4 , A , 2 , 102   , 49   53   , 22   49   31   , 31   17   22   32  
1af7 , A , 2 , 138   , 36   102   , 62   35   41   , 32   45   26   35  
1ccw , B , 2 , 330   , 169   161   , 113   118   99   , 76   89   76   89  
1dw9 , A , 2 , 101   , 49   52   , 52   24   25   , 26   24   28   23  
2ehz , A , 2 , 160   , 75   85   , 50   64   46   , 42   38   38   42  
1yz9 , A , 2 , 97   , 23   74   , 21   46   30   , 44   12   32   9  
1vcb , C , 2 , 69   , 50   19   , 25   16   28   , 11   16   25   17  
2a06 , B , 2 , 267   , 124   143   , 75   116   76   , 76   56   65   70  
1xta , B , 2 , 102   , 58   44   , 45   14   43   , 12   34   41   15  
2v2g , D , 2 , 129   , 98   31   , 25   45   59   , 33   40   25   31  
2d1c , A , 2 , 328   , 100   228   , 136   82   110   , 95   72   79   82  
2phc , B , 2 , 93   , 30   63   , 30   28   35   , 30   23   18   22  
1j5q , A , 2 , 218   , 86   132   , 62   65   91   , 57   53   48   60  
1w3f , A , 2 , 138   , 50   88   , 17   76   45   , 24   14   66   34  
1qd1 , A , 2 , 189   , 104   85   , 53   79   57   , 57   36   51   45  
1u8b , A , 2 , 41   , 26   15   , 10   26   5   , 15   10   11   5  
1e3d , A , 2 , 171   , 119   52   , 62   49   60   , 36   49   45   41  
3bb0 , A , 2 , 340   , 162   178   , 128   76   136   , 95   62   101   82  
1jj2 , K , 2 , 34   , 30   4   , 1   30   3   , 22   2   8   2  
